# OFAC SDN list — name	program
# source: https://www.treasury.gov/ofac/downloads/sdn.csv (US Treasury, public domain)
# fetched: 2026-09-24
# refresh: node scripts/fetch-reference.ts
HURTADO ROMERO, Jairo Jose	SDNT
MONTOYA SANCHEZ, Eugenio	SDNT
MONTOYA SANCHEZ, Juan Carlos	SDNT
RUIZ CASTANO, Maria Helena	SDNT
ECHEBERRIA SIMARRO, Leire	SDGT
ECHEGARAY ACHIRICA, Alfonso	SDGT
VALLEJO FRANCO, Inigo	SDGT
BENEVOLENCE INTERNATIONAL FOUNDATION	SDGT
BENEVOLENCE INTERNATIONAL FUND	SDGT
BOSANSKA IDEALNA FUTURA	SDGT
MOROCCAN ISLAMIC COMBATANT GROUP	SDGT
LAJNAT AL DAAWA AL ISLAMIYYA	SDGT
SAYADI, Nabil Abdul Salam	SDGT
ISAMUDDIN, Nurjaman Riduan	SDGT
ABDURRAHMAN, Mohamad Iqbal	SDGT
STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND	SDGT
LASHKAR I JHANGVI	FTO] [SDGT
HEKMATYAR, Gulbuddin	SDGT
ANSAR AL-ISLAM	FTO] [SDGT
THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS	SDGT
THE SPECIAL PURPOSE ISLAMIC REGIMENT	SDGT
THE ISLAMIC INTERNATIONAL BRIGADE	SDGT
CHIWENGA, Constantino Guveya	GLOMAG
MNANGAGWA, Emmerson Dambudzo	GLOMAG
MUCHINGURI, Oppah Charm Zvipange	GLOMAG
VALENCIA TRUJILLO, Joaquin Mario	SDNT
BANANERA AGRICOLA S.A.	SDNT
CIA. MINERA DAPA S.A.	SDNT
COMPANIA DE FOMENTO MERCANTIL S.A.	SDNT
CONSTRUCCIONES PROGRESO DEL PUERTO S.A.	SDNT
CREDISA S.A.	SDNT
CRIADERO LA LUISA E.U.	SDNT
DRAGADOS Y MUELLES GAVIOTA LTDA.	SDNT
GRANJA LA SIERRA LTDA.	SDNT
GRAN MUELLE S.A.	SDNT
MIRA E.U.	SDNT
OCCIDENTAL DE PAPELES LTDA.	SDNT
SERVICIO AEREO DE SANTANDER E.U.	SDNT
UNIDAS S.A.	SDNT
TODOBOLSAS Y COLSOBRES	SDNT
AL-AQSA FOUNDATION	SDGT
AL-AQSA E.V.	SDGT
STICHTING AL-AQSA	SDGT
FORENINGEN AL-AQSA	SDGT
AL-AQSA	SDGT
AQSSA SOCIETY YEMEN	SDGT
AL-AQSA FOUNDATION	SDGT
AL-AQSA FOUNDATION	SDGT
AL-AQSA FOUNDATION	SDGT
ADEMI, Xhevat	BALKANS
ADILI, Gafur	BALKANS
ALBANIAN NATIONAL ARMY	BALKANS
ALISPAHIC, Bakir	BALKANS
ARMY OF THE REPUBLIC OF ILIRIDA	BALKANS
BAJAGIC, Zvonko	BALKANS
BANOVIC, Predrag	BALKANS
BEQIRI, Idajet	BALKANS
BEXHETI, Nuri	BALKANS
BIO CORPORATION	BALKANS
BJELICA, Milovan	BALKANS
BLAGOJEVIC, Vidoje	BALKANS
BLASKIC, Tihomir	BALKANS
BORAVCANIN, Ljubomir	BALKANS
BOSKOVSKI, Ljube	BALKANS
BRDJANIN, Radoslav	BALKANS
BUTKA, Spiro	BALKANS
CERKEZ, Mario	BALKANS
CESIC, Ranko	BALKANS
CESIC-ROJS, Ljubo	BALKANS
CETNIK RAVNAGORSKI POKRET	BALKANS
CORIC, Valentin	BALKANS
DALIPI, Tahir	BALKANS
DELIC, Hazim	BALKANS
DOSEN, Damir	BALKANS
ELSHANI, Gafur	BALKANS
FRONT FOR ALBANIAN NATIONAL UNITY	BALKANS
FURUNDZIJA, Anto	BALKANS
FUSTAR, Dusan	BALKANS
GAJIC-MILOSEVIC, Milica	BALKANS
GALIC, Stanislav	BALKANS
GRUBAN, Momcilo	BALKANS
HABIBI, Skender	BALKANS
HADZIHASANOVIC, Enver	BALKANS
HALILI, Nevzat	BALKANS
HARADINAJ, Daut	BALKANS
HASANI, Zhavit	BALKANS
HAXHIREXHA, Kastriot	BALKANS
IVANOVIC, Milan	BALKANS
JAKSIC, Marko	BALKANS
JANKOVIC, Gojko	BALKANS
JELAVIC, Ante	BALKANS
JELISIC, Goran	BALKANS
JOKIC, Dragan	BALKANS
JOKIC, Miodrag	BALKANS
KARADZIC, Luka	BALKANS
KARADZIC, Radovan	BALKANS
KARADZIC-JOVICEVIC, Sonja	BALKANS
KNEZEVIC, Dusan	BALKANS
KORDIC, Dario	BALKANS
KOS, Milojica	BALKANS
KOVACEVIC, Vladimir	BALKANS
KRNOJELAC, Milorad	BALKANS
KRSTIC, Radislav	BALKANS
KRYEZIU, Izmet	BALKANS
KUBURA, Amir	BALKANS
KUNARAC, Dragoljub	BALKANS
KVOCKA, Miroslav	BALKANS
LALOVIC, Dragan	BALKANS
LIBERATION ARMY OF PRESEVO, MEDVEDJA, AND BUJANOVAC	BALKANS
LIMAJ, Fatmir	BALKANS
LLADROVICI, Ramiz	BALKANS
LUKIC, Milan	BALKANS
LUKIC, Sredoje	BALKANS
LUKOVIC, Milorad Ulemek	BALKANS
LUSHTAKU, Sami	BALKANS
MANCO OIL COMPANY	BALKANS
MANDIC, Momcilo	BALKANS
MARKOVIC, Mirjana	BALKANS
MARKOVIC, Radovac	BALKANS
MARKU, Ton	BALKANS
MARTIC, Milan	BALKANS
MARTINOVIC, Vinko	BALKANS
MEJAKIC, Zeljko	BALKANS
MILOSEVIC, Borislav	BALKANS
MILOSEVIC, Dragomir	BALKANS
MILOSEVIC, Marija	BALKANS
MILOSEVIC, Marko	BALKANS
MILOSEVIC, Milanka	BALKANS
MILOSEVIC, Slobodan	BALKANS
MLADIC, Ratko	BALKANS
MORINA, Xhavit	BALKANS
MRDJA, Darko	BALKANS
MUSLIU, Isak	BALKANS
MUSLIU, Shefqet	BALKANS
MUSTAFA, Rrustem	BALKANS
NALETILIC, Mladen	BALKANS
NATIONAL COMMITTEE FOR THE LIBERATION AND PROTECTION OF ALBANIAN LANDS	BALKANS
NATIONAL LIBERATION ARMY	BALKANS
NATIONAL MOVEMENT FOR THE LIBERATION OF KOSOVO	BALKANS
NDRECAJ, Maliq	BALKANS
NIKOLIC, Momir	BALKANS
NIKOLIC, Zarko	BALKANS
OBRENOVIC, Dragan	BALKANS
PANDUREVIC, Vinko	BALKANS
PAVKOVIC, Nebojsa	BALKANS
PERIC, Jozo	BALKANS
PLAVSIC, Biljana	BALKANS
POLITICAL COUNCIL OF PRESEVO, MEDVEDJA, AND BUJANOVAC	BALKANS
POPOVIC, Vujadin	BALKANS
POPULAR MOVEMENT OF KOSOVO	BALKANS
PRCAC, Dragoljub	BALKANS
